facility_name,un_locode,CGA_id,my_id,national_program,national_program_iso,lat_dd,lon_dd,altitude_m,longest_runway,landing_gear,first_opened,facilty_type,current_status,winter_population,peak_population,CGA_name_other
Syowa,AQ-SYW,14350,64,Japan,JPN,-69.00412231,39.58183616,29,1000 m,Ski,1957,Station,Year-round,28,110,Syowa (NOR); Syowa Station (USA)
King Sejong,AQ-KSG,18358,65,Republic of Korea,KOR,-62.2232395,-58.7865044,10,,,1988,Station,Year-round,18,70,King Sejong Station (USA)
Jang Bogo,,,66,Republic of Korea,KOR,-74.624465,164.229357,22,,,2014,Station,Year-round,16,60,
Dirck Gerritsz Laboratory ,,,67,Netherlands & UK,NLD,-67.56863642,-68.124377,16,,,2012,Camp,Seasonal,,,
Scott Base,AQ-SBA,12898,68,New Zealand,NZL,-77.849437,166.767281,10,,,1957,Station,Year-round,10,85,Scott Base (NZL) (USA)
Tor,AQ-TOR,18098,69,Norway,NOR,-71.88951483,5.159892622,1625,,,1985,Refuge,Seasonal,,4,Tor (NOR); Tor Station (USA)
Troll,AQ-TRL,14980,70,Norway,NOR,-72.01194552,2.533070031,1300,3000 m,Wheel,1990,Station,Year-round,7,40,Troll (NOR); Troll Station (USA)
Machu Picchu,,18361,71,Peru,PER,-62.09159252,-58.47055896,10,,,1989,Station,Seasonal,,28,Macchu Picchu Station (USA)
Arctowski,AQ-ARC,474,72,Poland,POL,-62.15977292,-58.47332175,2,,,1977,Station,Year-round,12,40,Arctowski Station (POL); Arctowski (USA)
Molodezhnaya Airfield,,,73,Russia,RUS,-67.66974075,45.82860961,225,2560 m,Ski & Wheel,,Camp,Seasonal,,,
Novolazarevskaya Airfield,,,74,Russia,RUS,-70.8217966,11.63987117,550,3000 m,Ski & Wheel,,Camp,Seasonal,,,
Bellingshausen,AQ-BHN,1141,75,Russia,RUS,-62.19818377,-58.96060891,16,,,1968,Station,Year-round,25,38,Nauchnaja Stancija Bellingsauzen (RUS); Bellingshausen Station (USA)
Druzhnaya-4,AQ-DRZ,18354,76,Russia,RUS,-69.74782719,73.70921376,20,,,1987,Station,Seasonal,,50,Druzhnaya 4 Station (USA)
Leningradskaya,,8319,77,Russia,RUS,-69.50149558,159.3911476,231,,,1971,Station,Seasonal,,,Nauchnaja Stancija Leningradskaja (RUS)
Mirny,AQ-MIR,9647,78,Russia,RUS,-66.55823444,93.0003795,40,,,1956,Station,Year-round,60,169,Nauchnaja Stancija Mirnyj (RUS); Mirny Station (USA)
Molodezhnaya,,9744,79,Russia,RUS,-67.66544285,45.84203764,42,,,1962,Station,Seasonal,,,Nauchnaja Stancija Molod‘zhnaja (RUS); Molodezhnaya Station (USA)
Novolazarevskaya,AQ-NOV,10430,80,Russia,RUS,-70.77692572,11.82366729,102,,,1961,Station,Year-round,30,70,Nauchnaja Stancija Novolazarevskaja (RUS); Novolazarevskaya Station (USA)
Progress,AQ-PRO,18366,81,Russia,RUS,-69.37812036,76.38779398,15,,,1989,Station,Year-round,20,77,Progress 2 Station (USA)
Russkaya,,12528,82,Russia,RUS,-74.76572579,-136.8000722,8,,,1980,Station,Seasonal,,,Nauchnaja Stancija Russkaja (RUS)
Soyuz,,,83,Russia,RUS,-70.5765771,68.79493694,336,,,1982,Station,Seasonal,,,
Vostok,AQ-VOS,15605,84,Russia,RUS,-78.46415952,106.8379632,3500,3000 m,Ski,1957,Station,Year-round,13,25,Nauchnaja Stancija Vostok (RUS); Vostok Station (USA)
SANAE IV,AQ-SNA,18367,85,South Africa,ZAF,-71.67287313,-2.840324047,850,1000 m,Ski,1962,Station,Year-round,10,80,SANAE IV Station (USA)
Gabriel de Castilla,AQ-GDC,5048,86,Spain,ESP,-62.97719656,-60.67574545,15,,,1990,Station,Seasonal,,25,Refugio Gabriel de Castilla (ESP); Gabriel de Castilla Station (USA)
Juan Carlos I,AQ-JCP,7246,87,Spain,ESP,-62.66340863,-60.38814603,12,,,1989,Station,Seasonal,,25,Base Juan Carlos I (ESP); Juan Carlos Primero Station (USA)
Svea,,14295,88,Sweden,SWE,-74.57606102,-11.22487242,1285,,,,Station,Seasonal,,,Svea (NOR)
Wasa,AQ-WSA,15754,89,Sweden,SWE,-73.04279886,-13.41290971,400,,,1989,Station,Seasonal,,20,Wasa (NOR); Wasa (USA)
Vernadsky,AQ-VKY,18368,90,Ukraine,UKR,-65.24574295,-64.25748123,7,,,1996,Station,Year-round,12,24,Vernadsky Station (USA)
Fossil Bluff,,4848,91,United Kingdom,GBR,-71.32341152,-68.28906406,92,1200 m,Ski,1961,Camp,Seasonal,,6,Fossil Bluff (GBR); Fossil Bluff Station (USA)
Rothera Skiway,,,92,United Kingdom,GBR,-67.56758573,-68.12717991,250,2500 m,Ski,1975,Camp,Seasonal,,,
Sky Blu,,16627,93,United Kingdom,GBR,-74.856351,-71.58519987,1420,variable,Wheel,,Camp,Seasonal,,6,Sky-Blu (GBR); Sky Blu Station (USA)
Halley,AQ-HLY,5910,94,United Kingdom,GBR,-75.57982394,-26.72862432,37,1200 m,Ski,1956,Station,Year-round,15,65,Halley (1988) (GBR); Halley Station (USA)
Rothera,AQ-ROT,12397,95,United Kingdom,GBR,-67.56863642,-68.124377,16,900 m,Wheel,1975,Station,Year-round,22,130,Rothera (RUS); Rothera Station (USA)
Signy,AQ-SGN,13267,96,United Kingdom,GBR,-60.70828739,-45.59538916,5,,,1947,Station,Seasonal,,10,Signy (GBR); Signy Station (USA)
Artigas,AQ-ART,554,97,Uruguay,URY,-62.18455071,-58.90244173,17,,,1984,Station,Year-round,9,60,Base Artigas (URY); Artigas Station (USA)
Ruperto Elichiribehety,,4173,98,Uruguay,URY,-63.40237211,-56.9909068,3,,,1997,Station,Seasonal,,,Estaci—n Elichiribehety (T.N. Rupierto) (URY) 
Marble Point Heliport,,,99,USA,USA,-77.41366667,163.6791667,62,,,,Camp,Seasonal,,,
Odell Glacier Camp,,18365,100,USA,USA,-76.6601162,159.953156,1600,1800 m,Wheel,,Camp,Seasonal,,,Odell Glacier Station (USA)
Siple Dome,,17131,101,USA,USA,-81.65430285,-149.0051336,2021,variable,Ski,,Camp,Seasonal,,,Siple Dome Camp (USA)
Amundsen-Scott South Pole Station,AQ-AMS,17020,102,USA,USA,-89.9975,139.2728,2830,3660 m,Ski,1956,Station,Year-round,75,250,Amundsen-Scott South Pole Station (USA)
McMurdo Station,AQ-MCM,9342,103,USA,USA,-77.8482091,166.668422,10,3000 m,Ski & Wheel,1955,Station,Year-round,250,1000,McMurdo Station (USA)
Palmer Station,AQ-PLM,10852,104,USA,USA,-64.77426073,-64.05333352,10,,,1965,Station,Year-round,12,43,Palmer Station (USA)
